time,phase,angle_deg,fz
0.022852659225463867,approach,0.4,
0.03026556968688965,approach,0.8,
0.04014897346496582,approach,1.2000000000000002,
0.050229549407958984,approach,1.6,
0.060210466384887695,approach,2.0,
0.07020688056945801,approach,2.4,
0.0802001953125,approach,2.8,
0.09020304679870605,approach,3.1999999999999997,
0.10021352767944336,approach,3.5999999999999996,
0.11031770706176758,approach,3.9999999999999996,
0.1203155517578125,approach,4.3999999999999995,
0.17290282249450684,approach,4.8,
0.1802377700805664,approach,5.2,
0.19025254249572754,approach,5.6000000000000005,
0.20021653175354004,approach,6.000000000000001,
0.21022963523864746,approach,6.400000000000001,
0.22020530700683594,approach,6.800000000000002,
0.23016738891601562,approach,7.200000000000002,
0.24023795127868652,approach,7.600000000000002,
0.25020813941955566,approach,8.000000000000002,
0.2603323459625244,approach,8.400000000000002,
0.27041029930114746,approach,8.800000000000002,
0.2805209159851074,approach,9.200000000000003,
0.290449857711792,approach,9.600000000000003,
0.30046844482421875,approach,10.000000000000004,
0.3104281425476074,approach,10.400000000000004,
0.32041287422180176,approach,10.800000000000004,
0.3304154872894287,approach,11.200000000000005,
0.34042859077453613,approach,11.600000000000005,
0.35045289993286133,approach,12.000000000000005,
0.3606090545654297,approach,12.400000000000006,
0.3704240322113037,approach,12.800000000000006,
0.3804502487182617,approach,13.200000000000006,
0.3905365467071533,approach,13.600000000000007,
0.4004230499267578,approach,14.000000000000007,
0.41042041778564453,approach,14.400000000000007,
0.4204225540161133,approach,14.800000000000008,
0.43043971061706543,approach,15.200000000000008,
0.4405782222747803,approach,15.600000000000009,
0.4505465030670166,approach,16.000000000000007,
0.4604477882385254,approach,16.400000000000006,
0.4704320430755615,approach,16.800000000000004,
0.4804348945617676,approach,17.200000000000003,
0.49042224884033203,approach,17.6,
0.5004513263702393,approach,18.0,
0.5104677677154541,approach,18.4,
0.5204277038574219,approach,18.799999999999997,
0.5304391384124756,approach,19.199999999999996,
0.5404131412506104,approach,19.599999999999994,
0.550537109375,approach,19.999999999999993,
0.560462474822998,approach,20.39999999999999,
0.570443868637085,approach,20.79999999999999,
0.5804183483123779,approach,21.19999999999999,
0.5904254913330078,approach,21.599999999999987,
0.6004266738891602,approach,21.999999999999986,
0.6105835437774658,approach,22.399999999999984,
0.6204359531402588,approach,22.799999999999983,
0.6304225921630859,approach,23.19999999999998,
0.6406223773956299,approach,23.59999999999998,
0.6504921913146973,approach,23.99999999999998,
0.6604702472686768,approach,24.399999999999977,
0.6704208850860596,approach,24.799999999999976,
0.6806049346923828,approach,25.199999999999974,
0.6905219554901123,approach,25.599999999999973,
0.700533390045166,approach,25.99999999999997,
0.7104976177215576,approach,26.39999999999997,
0.7204971313476562,approach,26.79999999999997,
0.7305610179901123,approach,27.199999999999967,
0.7404298782348633,approach,27.599999999999966,
0.7504551410675049,approach,27.999999999999964,
0.7604608535766602,approach,28.399999999999963,
0.7704246044158936,approach,28.79999999999996,
0.7804734706878662,approach,29.19999999999996,
0.790626049041748,approach,29.59999999999996,
0.8004260063171387,approach,29.999999999999957,
0.8104419708251953,approach,30.399999999999956,
0.8204147815704346,approach,30.799999999999955,
0.8304131031036377,approach,31.199999999999953,
0.8404324054718018,approach,31.59999999999995,
0.8504319190979004,approach,31.99999999999995,
0.8605740070343018,approach,32.39999999999995,
0.8704297542572021,approach,32.79999999999995,
0.8804492950439453,approach,33.199999999999946,
0.8905544281005859,approach,33.599999999999945,
0.9004228115081787,approach,33.99999999999994,
0.9104266166687012,approach,34.39999999999994,
0.9204208850860596,approach,34.79999999999994,
0.9304401874542236,approach,35.19999999999994,
0.9405801296234131,approach,35.59999999999994,
0.9504516124725342,approach,35.999999999999936,
0.9604959487915039,approach,36.399999999999935,
0.9704337120056152,approach,36.79999999999993,
0.9804131984710693,approach,37.19999999999993,
0.9904131889343262,approach,37.59999999999993,
1.000441551208496,approach,37.99999999999993,
1.0104336738586426,approach,38.39999999999993,
1.0203964710235596,approach,38.799999999999926,
1.0304429531097412,approach,39.199999999999925,
1.040447473526001,approach,39.59999999999992,
1.0505564212799072,approach,39.99999999999992,
1.0604615211486816,approach,40.39999999999992,
1.0704288482666016,approach,40.79999999999992,
1.0804142951965332,approach,41.19999999999992,
1.0904171466827393,approach,41.599999999999916,
1.1004109382629395,approach,41.999999999999915,
1.1104910373687744,approach,42.39999999999991,
1.1204218864440918,approach,42.79999999999991,
1.130429744720459,approach,43.19999999999991,
1.140439510345459,approach,43.59999999999991,
1.1504499912261963,approach,43.99999999999991,
1.160454273223877,approach,44.399999999999906,
1.1704330444335938,approach,44.799999999999905,
1.1804776191711426,approach,45.1999999999999,
1.1904282569885254,approach,45.5999999999999,
1.2004406452178955,approach,45.9999999999999,
1.2104249000549316,approach,46.3999999999999,
1.220416784286499,approach,46.7999999999999,
1.2304177284240723,approach,47.199999999999896,
1.2404210567474365,approach,47.599999999999895,
1.250455379486084,approach,47.99999999999989,
1.2604475021362305,approach,48.39999999999989,
1.2704238891601562,approach,48.79999999999989,
1.2804791927337646,approach,49.19999999999989,
1.290405035018921,approach,49.59999999999989,
1.3004436492919922,approach,49.999999999999886,
1.3104310035705566,approach,50.399999999999885,
1.320389986038208,approach,50.79999999999988,
1.330423355102539,approach,51.19999999999988,
1.3404431343078613,approach,51.59999999999988,
1.3505480289459229,approach,51.99999999999988,
1.3606126308441162,approach,52.39999999999988,
1.3704757690429688,approach,52.799999999999876,
1.3804802894592285,approach,53.199999999999875,
1.3904402256011963,approach,53.59999999999987,
1.4005792140960693,approach,53.99999999999987,
1.4104282855987549,approach,54.39999999999987,
1.4204072952270508,approach,54.79999999999987,
1.4304604530334473,approach,55.19999999999987,
1.4405834674835205,approach,55.599999999999866,
1.4505729675292969,approach,55.999999999999865,
1.460564374923706,approach,56.399999999999864,
1.4704444408416748,approach,56.79999999999986,
1.4804449081420898,approach,57.19999999999986,
1.490494966506958,approach,57.59999999999986,
1.500525951385498,approach,57.99999999999986,
1.5104568004608154,approach,58.39999999999986,
1.5204262733459473,approach,58.799999999999855,
1.5306532382965088,approach,59.199999999999854,
1.5406453609466553,approach,59.59999999999985,
1.5503623485565186,approach,59.99999999999985,
1.5603926181793213,approach,60.39999999999985,
1.5703423023223877,approach,60.79999999999985,
1.580392599105835,approach,61.19999999999985,
1.59035062789917,approach,61.599999999999845,
1.6003882884979248,approach,61.999999999999844,
1.610532522201538,approach,62.39999999999984,
1.6203367710113525,approach,62.79999999999984,
1.6303467750549316,approach,63.19999999999984,
1.640355110168457,approach,63.59999999999984,
1.650320291519165,approach,63.99999999999984,
1.6604444980621338,approach,64.39999999999984,
1.6703400611877441,approach,64.79999999999984,
1.6803910732269287,approach,65.19999999999985,
1.690584659576416,approach,65.59999999999985,
1.700361967086792,approach,65.99999999999986,
1.7103164196014404,approach,66.39999999999986,
1.7203638553619385,approach,66.79999999999987,
