time,phase,alpha,fz_tip1,fz_tip2,fz_tip3,fz_tip4,fz_tip5
0.010155677795410156,move,0.0033852259318033853,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005
0.00018930435180664062,move,6.310145060221355e-05,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005
0.005296945571899414,move,0.0017656485239664714,-5.5,-5.5,-5.5,-5.5,-5.5
0.015398502349853516,move,0.005132834116617839,-5.5,-5.5,-5.5,-5.5,-5.5
0.025357723236083984,move,0.008452574412027994,-5.5,-5.5,-5.5,-5.5,-5.5
0.035369157791137695,move,0.011789719263712565,-5.5,-5.5,-5.5,-5.5,-5.5
0.04543042182922363,move,0.015143473943074545,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005
0.05532670021057129,move,0.018442233403523762,-5.5,-5.5,-5.5,-5.5,-5.5
0.0655374526977539,move,0.02184581756591797,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005
0.07535576820373535,move,0.025118589401245117,-5.5,-5.5,-5.5,-5.5,-5.5
0.08545660972595215,move,0.028485536575317383,-5.5,-5.5,-5.5,-5.5,-5.5
0.09555959701538086,move,0.03185319900512695,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005
0.10555481910705566,move,0.03518493970235189,-5.5,-5.5,-5.5,-5.5,-5.5
0.11553645133972168,move,0.03851215044657389,-5.5,-5.5,-5.5,-5.5,-5.5
0.12551546096801758,move,0.041838486989339195,-5.5,-5.5,-5.5,-5.5,-5.5
0.1355140209197998,move,0.04517134030659994,-5.5,-5.5,-5.5,-5.5,-5.5
0.14558005332946777,move,0.04852668444315592,-5.5,-5.5,-5.5,-5.5,-5.5
0.1555039882659912,move,0.051834662755330406,-5.5,-5.5,-5.5,-5.5,-5.5
0.16553211212158203,move,0.05517737070719401,-5.5,-5.5,-5.5,-5.5,-5.5
0.175581693649292,move,0.058527231216430664,-5.5,-5.5,-5.5,-5.5,-5.5
0.1855008602142334,move,0.06183362007141113,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005
0.1954965591430664,move,0.06516551971435547,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005
0.2055196762084961,move,0.06850655873616536,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005
0.21559834480285645,move,0.07186611493428548,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005
0.225508451461792,move,0.07516948382059734,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005
0.23549675941467285,move,0.07849891980489095,-5.5,-5.5,-5.5,-5.5,-5.5
0.24552130699157715,move,0.08184043566385905,-5.5,-5.5,-5.5,-5.5,-5.5
0.25549769401550293,move,0.08516589800516765,-5.5,-5.5,-5.5,-5.5,-5.5
0.265500545501709,move,0.088500181833903,-5.5,-5.5,-5.5,-5.5,-5.5
0.275526762008667,move,0.09184225400288899,-5.5,-5.5,-5.5,-5.5,-5.5
0.28551459312438965,move,0.09517153104146321,-5.5,-5.5,-5.5,-5.5,-5.5
0.29552698135375977,move,0.0985089937845866,-5.5,-5.5,-5.5,-5.5,-5.5
0.3055238723754883,move,0.10184129079182942,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005
0.3159520626068115,move,0.10531735420227051,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005
0.325786828994751,move,0.10859560966491699,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005
0.3356771469116211,move,0.1118923823038737,-5.7,-5.7,-5.7,-5.7,-5.7
0.3454315662384033,move,0.1151438554128011,-5.7,-5.7,-5.7,-5.7,-5.7
0.35538268089294434,move,0.11846089363098145,-5.7,-5.7,-5.7,-5.7,-5.7
0.3653547763824463,move,0.12178492546081543,-5.7,-5.7,-5.7,-5.7,-5.7
0.3753550052642822,move,0.12511833508809408,-5.7,-5.7,-5.7,-5.7,-5.7
0.38539552688598633,move,0.1284651756286621,-5.7,-5.7,-5.7,-5.7,-5.7
0.39559078216552734,move,0.13186359405517578,-5.800000000000001,-5.800000000000001,-5.800000000000001,-5.800000000000001,-5.800000000000001
0.4053955078125,move,0.1351318359375,-5.7,-5.7,-5.7,-5.7,-5.7
0.41547489166259766,move,0.13849163055419922,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005
0.4256882667541504,move,0.14189608891805014,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005
0.4357733726501465,move,0.14525779088338217,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005
0.4457547664642334,move,0.14858492215474448,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005
0.45571160316467285,move,0.15190386772155762,-5.7,-5.7,-5.7,-5.7,-5.7
0.4656209945678711,move,0.15520699818929037,-5.7,-5.7,-5.7,-5.7,-5.7
0.47545719146728516,move,0.15848573048909506,-5.7,-5.7,-5.7,-5.7,-5.7
0.4854130744934082,move,0.1618043581644694,-5.7,-5.7,-5.7,-5.7,-5.7
0.49552226066589355,move,0.1651740868886312,-5.7,-5.7,-5.7,-5.7,-5.7
0.5053238868713379,move,0.1684412956237793,-5.7,-5.7,-5.7,-5.7,-5.7
0.5155982971191406,move,0.17186609903971353,-5.7,-5.7,-5.7,-5.7,-5.7
0.5255048274993896,move,0.17516827583312988,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005
0.5355422496795654,move,0.17851408322652182,-5.5,-5.5,-5.5,-5.5,-5.5
0.5453188419342041,move,0.18177294731140137,-5.5,-5.5,-5.5,-5.5,-5.5
0.5553488731384277,move,0.18511629104614258,-5.5,-5.5,-5.5,-5.5,-5.5
0.5653572082519531,move,0.18845240275065103,-5.4,-5.4,-5.4,-5.4,-5.4
0.5753419399261475,move,0.19178064664204916,-5.4,-5.4,-5.4,-5.4,-5.4
0.5854012966156006,move,0.19513376553853354,-5.4,-5.4,-5.4,-5.4,-5.4
0.5955381393432617,move,0.19851271311442056,-5.4,-5.4,-5.4,-5.4,-5.4
0.6057376861572266,move,0.20191256205240884,-5.4,-5.4,-5.4,-5.4,-5.4
0.6157441139221191,move,0.2052480379740397,-5.5,-5.5,-5.5,-5.5,-5.5
0.6257245540618896,move,0.20857485135396323,-5.5,-5.5,-5.5,-5.5,-5.5
0.6356492042541504,move,0.2118830680847168,-5.4,-5.4,-5.4,-5.4,-5.4
0.6458120346069336,move,0.2152706782023112,-5.5,-5.5,-5.5,-5.5,-5.5
0.6557693481445312,move,0.21858978271484375,-5.5,-5.5,-5.5,-5.5,-5.5
0.6657750606536865,move,0.2219250202178955,-5.5,-5.5,-5.5,-5.5,-5.5
0.675788164138794,move,0.225262721379598,-5.5,-5.5,-5.5,-5.5,-5.5
0.6857330799102783,move,0.22857769330342612,-5.5,-5.5,-5.5,-5.5,-5.5
0.6957738399505615,move,0.23192461331685385,-5.5,-5.5,-5.5,-5.5,-5.5
0.7055861949920654,move,0.23519539833068848,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005
0.7156007289886475,move,0.23853357632954916,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005
0.7256553173065186,move,0.2418851057688395,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005
0.7355861663818359,move,0.2451953887939453,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005
0.7455849647521973,move,0.24852832158406576,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005
0.7556066513061523,move,0.25186888376871747,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005
0.765573263168335,move,0.2551910877227783,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005
0.7755823135375977,move,0.2585274378458659,-5.5,-5.5,-5.5,-5.5,-5.5
0.7855963706970215,move,0.26186545689900714,-5.5,-5.5,-5.5,-5.5,-5.5
0.7956337928771973,move,0.2652112642923991,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005
0.8056154251098633,move,0.2685384750366211,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005
0.8155994415283203,move,0.2718664805094401,-5.7,-5.7,-5.7,-5.7,-5.7
0.8256313800811768,move,0.2752104600270589,-5.7,-5.7,-5.7,-5.7,-5.7
0.8355827331542969,move,0.27852757771809894,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005,-5.6000000000000005
